lat, lon, Styrofoam_Box, Styrofoam_Piece, PET_Bottle, Glass, Metal, Plastic_ETC, Rope
35.167743, 128.034626, 1, 19, 7, 0, 6, 14, 1
35.167807, 128.034598, 0, 22, 5, 0, 4, 6, 0
35.167869, 128.034612, 0, 23, 6, 0, 3, 15, 0
35.167911, 128.034656, 0, 25, 6, 0, 0, 16, 0
35.167948, 128.034698, 1, 12, 7, 0, 1, 11, 0
35.167988, 128.034742, 0, 7, 5, 0, 3, 6, 0
35.168027, 128.034782, 0, 12, 9, 0, 2, 5, 0
35.168061, 128.034816, 0, 15, 3, 0, 2, 9, 0
35.168090, 128.034846, 0, 17, 7, 0, 1, 2, 0
35.168120, 128.034879, 0, 14, 8, 0, 3, 10, 0
35.168151, 128.034913, 0, 13, 8, 0, 1, 12, 0
35.168185, 128.034948, 1, 18, 9, 0, 1, 11, 0
35.168220, 128.034985, 0, 23, 12, 0, 3, 10, 0
35.168253, 128.035019, 1, 20, 13, 0, 3, 14, 0
35.168289, 128.035055, 0, 16, 12, 0, 2, 8, 0
35.168323, 128.035089, 0, 15, 12, 0, 0, 6, 0
35.168359, 128.035123, 0, 13, 12, 0, 0, 5, 0
35.168391, 128.035154, 0, 16, 9, 0, 1, 6, 0
35.168420, 128.035185, 0, 18, 7, 0, 2, 11, 0
35.168458, 128.035230, 1, 16, 3, 0, 1, 9, 0
35.168497, 128.035276, 1, 13, 4, 0, 1, 8, 0
35.168524, 128.035310, 0, 12, 11, 1, 2, 6, 0
35.168547, 128.035337, 0, 20, 14, 1, 1, 8, 0
35.168572, 128.035364, 0, 21, 17, 2, 1, 9, 0
35.168605, 128.035403, 0, 18, 12, 0, 1, 14, 0
35.168638, 128.035441, 1, 21, 7, 0, 1, 8, 0
35.168671, 128.035476, 1, 20, 15, 0, 1, 15, 0
35.168703, 128.035511, 0, 21, 10, 0, 1, 16, 0
35.168734, 128.035547, 0, 18, 10, 0, 3, 9, 0
35.168763, 128.035580, 1, 19, 7, 0, 2, 5, 0
35.168791, 128.035614, 2, 17, 3, 1, 2, 11, 0
35.168817, 128.035645, 1, 18, 11, 0, 2, 12, 0
35.168842, 128.035674, 0, 15, 9, 0, 2, 13, 0
35.168862, 128.035697, 1, 19, 9, 1, 0, 10, 0
35.168876, 128.035715, 0, 17, 5, 1, 0, 13, 0
35.168900, 128.035743, 0, 15, 9, 2, 0, 12, 0
35.168921, 128.035768, 0, 22, 11, 0, 2, 16, 0
35.168935, 128.035788, 0, 18, 13, 0, 0, 8, 0
35.168958, 128.035820, 0, 19, 10, 0, 1, 10, 0
35.168988, 128.035862, 0, 14, 10, 1, 3, 10, 0
35.169011, 128.035895, 0, 16, 10, 1, 2, 12, 0
35.169031, 128.035923, 0, 21, 7, 0, 0, 15, 0
35.169053, 128.035952, 3, 27, 9, 0, 1, 20, 0
35.169078, 128.035988, 0, 18, 9, 0, 1, 9, 0
35.169108, 128.036027, 0, 18, 9, 0, 0, 6, 0
35.169139, 128.036063, 0, 16, 11, 1, 0, 3, 0
35.169173, 128.036105, 1, 17, 6, 0, 0, 6, 0
35.169206, 128.036150, 0, 13, 9, 0, 1, 6, 0
35.169239, 128.036192, 0, 10, 12, 0, 2, 5, 0
35.169271, 128.036237, 0, 14, 15, 0, 1, 6, 0
35.169301, 128.036281, 0, 13, 13, 0, 0, 9, 1
35.169326, 128.036317, 0, 17, 11, 0, 1, 10, 1
35.169347, 128.036346, 0, 21, 12, 0, 1, 12, 0
35.169366, 128.036370, 0, 20, 12, 0, 1, 11, 0
35.169389, 128.036404, 0, 18, 13, 0, 1, 12, 0
35.169418, 128.036442, 0, 18, 10, 0, 1, 13, 0
35.169448, 128.036483, 0, 24, 6, 0, 2, 14, 0
35.169479, 128.036525, 0, 25, 4, 0, 0, 10, 0
35.169511, 128.036567, 0, 13, 3, 0, 1, 7, 0
35.169544, 128.036611, 0, 15, 14, 0, 1, 15, 0
35.169574, 128.036652, 0, 14, 12, 0, 4, 11, 0
35.169600, 128.036687, 0, 12, 9, 1, 3, 9, 0
35.169625, 128.036718, 0, 17, 10, 0, 1, 8, 0
35.169646, 128.036749, 0, 22, 8, 0, 1, 7, 0
35.169668, 128.036779, 0, 19, 6, 0, 0, 10, 0
35.169691, 128.036810, 0, 13, 7, 0, 1, 19, 1
35.169714, 128.036839, 0, 15, 8, 0, 2, 7, 1
35.169737, 128.036868, 0, 16, 10, 0, 2, 9, 1
35.169758, 128.036895, 0, 17, 5, 0, 1, 7, 0
35.169781, 128.036922, 0, 11, 4, 0, 2, 2, 0
35.169803, 128.036950, 0, 11, 3, 0, 2, 5, 0
35.169826, 128.036979, 0, 10, 3, 0, 2, 6, 0
35.169848, 128.037008, 0, 11, 6, 0, 1, 8, 0
35.169869, 128.037036, 0, 15, 5, 0, 2, 10, 0
35.169891, 128.037067, 0, 15, 6, 1, 2, 7, 0
35.169916, 128.037102, 0, 11, 2, 0, 1, 8, 0
35.169940, 128.037137, 0, 15, 4, 0, 2, 10, 0
35.169969, 128.037175, 0, 14, 2, 0, 0, 7, 0
35.170001, 128.037218, 0, 9, 9, 0, 4, 9, 0
35.170034, 128.037260, 0, 7, 7, 0, 5, 6, 0
35.170067, 128.037302, 1, 7, 4, 0, 1, 3, 0
35.170099, 128.037340, 1, 6, 3, 0, 1, 5, 0
35.170133, 128.037378, 0, 5, 2, 0, 0, 3, 0
35.170163, 128.037411, 0, 2, 5, 0, 0, 2, 0
35.170191, 128.037442, 0, 4, 2, 0, 0, 2, 0
35.170210, 128.037465, 0, 2, 3, 0, 0, 1, 0
35.170086, 128.036759, 0, 0, 0, 0, 0, 0, 0
35.170009, 128.036686, 0, 3, 2, 0, 0, 1, 0
35.169946, 128.036626, 0, 0, 0, 0, 0, 0, 0
35.169912, 128.036593, 0, 1, 0, 0, 0, 1, 0
35.169877, 128.036561, 0, 2, 5, 0, 0, 1, 0
35.169831, 128.036518, 0, 2, 4, 0, 0, 1, 0
35.169785, 128.036474, 0, 3, 1, 0, 0, 2, 0
